SourceFile,Title,Description,Subject,Headline,Credit,Creator,Rights,UsageTerms,WebStatement
stellenbosch-os-reinstall-windows-with-backup-digissential.webp,Windows reinstall with backup,"Back up your data, reinstall Windows, and restore files after.",Stellenbosch; Windows reinstall; backup; restore; clean install,Windows reinstall (with backup),Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/windows-os-reinstall-with-backup/
stellenbosch-os-reinstall-windows-without-backup-digissential.webp,Windows reinstall (no backup),"Fresh Windows install when no data is required from the old system.",Stellenbosch; Windows reinstall; clean install; OS setup,Windows reinstall (no backup),Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/windows-os-reinstall-without-backup/
stellenbosch-pickup-drop-off-local-digissential.webp,Local pick-up & drop-off — Stellenbosch,"Scheduled collection and return for devices in our local area.",Stellenbosch; pickup; drop-off; collection; logistics,Local pick-up & return,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/pickup-dropoff/
stellenbosch-printer-setup-digissential.webp,Printer setup,"Connect printers over USB or Wi-Fi and configure drivers and sharing.",Stellenbosch; printer setup; Wi-Fi printing; drivers,Printer setup service,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/printer-setup/
stellenbosch-printer-troubleshooting-digissential.webp,Printer troubleshooting,"Fix common printer faults: queues, drivers, and connectivity.",Stellenbosch; printer troubleshooting; drivers; offline printer,Printer troubleshooting,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/printer-troubleshooting/
stellenbosch-remote-it-support-digissential.webp,Remote support — secure & compliant,"Technician assisting a client remotely with a secure session.",Stellenbosch; remote IT support; helpdesk; secure support,Remote IT support,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/remote-it-support/
stellenbosch-remote-support-session-digissential.webp,Remote support session,"One-off remote session to fix issues or configure software.",Stellenbosch; remote session; support; configuration,Remote support session,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/remote-support-session/
stellenbosch-remote-support-setup-digissential.webp,Remote support setup,"Prepare a device with secure tools for future remote help.",Stellenbosch; remote setup; secure tools; helpdesk,Remote support setup,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/remote-support-setup/
stellenbosch-software-install-bulk-per-device-digissential.webp,Software install (bulk/per device),"Install or remove software in bulk and apply updates.",Stellenbosch; software install; bulk deployment; updates,Software install — bulk,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/software-install-bulk/
stellenbosch-ssd-upgrade-bundle-clone-swap-digissential.webp,SSD upgrade bundle (clone & swap),"Clone to a new SSD and fit it for a big speed boost.",Stellenbosch; SSD upgrade; clone; swap; performance,SSD upgrade bundle,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/ssd-upgrade-bundle/
stellenbosch-thermal-paste-deep-clean-digissential.webp,Thermal paste & deep clean,"Replace paste and clear dust for lower temps and quieter fans.",Stellenbosch; thermal paste; deep clean; cooling; fans,Thermal paste & clean,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/thermal-paste-deep-clean/
stellenbosch-tune-up-remote-digissential.webp,Remote tune-up & speed-up,"Clean up and optimize your PC over a secure remote session.",Stellenbosch; remote tune-up; optimization; cleanup,Remote PC tune-up,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/tune-up-remote/
stellenbosch-virus-malware-removal-basic-digissential.webp,Malware removal (basic),"Remove common malware safely and restore performance.",Stellenbosch; malware removal; virus cleanup; basic service,Basic malware removal,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/virus-malware-removal/
stellenbosch-wifi-network-troubleshooting-digissential.webp,Wi-Fi & network support,"Troubleshoot routers, access points, and home/office Wi-Fi.",Stellenbosch; Wi-Fi troubleshooting; networking; router; access point,Wi-Fi troubleshooting,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/wifi-network-troubleshooting/
stellenbosch-windows-install-driver-pack-digissential.webp,Windows install & driver pack,"Install Windows and the correct driver set for a stable system.",Stellenbosch; Windows install; driver pack; device drivers,Windows & drivers install,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/windows-install-driver-pack/
stellenbosch-windows-os-reinstall-with-backup-digissential.webp,Windows OS reinstall with backup,"Back up user data, reinstall the OS, and restore files.",Stellenbosch; Windows reinstall; OS; backup; restore,Windows reinstall with backup,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/windows-os-reinstall-with-backup/
stellenbosch-windows-os-reinstall-without-backup-digissential.webp,Windows OS reinstall (no backup),"Reinstall the OS when no data needs to be kept.",Stellenbosch; OS reinstall; clean install; Windows,Windows reinstall — no backup,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/windows-os-reinstall-without-backup/
stellenbosch-windows-password-reset-consent-only-digissential.webp,Windows password reset (consent only),"Reset a Windows password with documented consent and ID.",Stellenbosch; password reset; Windows account; consent,Windows password reset,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/windows-password-reset/
stellenbosch-workstation-setup-new-or-reset-digissential.webp,Workstation setup — new or reset,"Prepare a clean, reliable workstation with apps and updates.",Stellenbosch; workstation setup; apps; updates; configuration,Workstation setup service,Digissential,Digissential,"© Digissential. All rights reserved.","Licensed for use on digissential.co.za.",https://digissential.co.za/services/workstation-setup/
